customer_id,signup_date,city,age,gender,acquisition_channel,is_prime_member
C100000,28-06-2025,Delhi,35,F,Instagram Ads,0
C100001,13-04-2025,Delhi,34,F,Instagram Ads,0
C100002,01-06-2025,Mumbai,40,F,Instagram Ads,1
C100003,09-10-2024,Mumbai,39,Other,Google Ads,1
C100004,22-12-2025,Delhi,30,M,Organic,0
C100005,08-08-2024,Hyderabad,19,M,Organic,1
C100006,21-09-2025,Delhi,36,M,Instagram Ads  ,0
C100007,11-12-2024,Chennai,35,F,Offline Banner,1
C100008,22-02-2025,Bengaluru,32,F,Influencer,0
C100009,04-10-2025,Delhi,37,M,Offline Banner,1
C100010,25-11-2025,Chennai,28,M,Google Ads,0
C100011,28-06-2024,Mumbai,18,M,Organic,1
C100012,04-06-2025,Mumbai,24,M,Instagram Ads,0
C100013,14-05-2025,Mumbai,18,M,Influencer,0
C100014,31-07-2024,Hyderabad,34,F,Instagram Ads,0
C100015,20-07-2025,Bengaluru,30,M,Google Ads,0
C100016,24-08-2024,Delhi,37,F,Referral,0
C100017,14-03-2025,Delhi,37,M,Referral,0
C100018,11-01-2025,Hyderabad,27,F,Referral,0
C100019,21-02-2025,Delhi,,F,Instagram Ads,1
C100020,17-12-2024,Delhi,24,M,Google Ads,1
C100021,02-09-2025,Bengaluru,,F,Offline Banner,0
C100022,01-08-2024,Pune,29,M,Influencer,0
C100023,09-06-2025,Mumbai,28,Other,Referral,0
C100024,22-12-2024,Mumbai,,F,Referral,0
C100025,03-03-2025,Pune,18,F,Instagram Ads,1
C100026,29-05-2025,Delhi,27,M,Instagram Ads,0
C100027,03-11-2024,Bengaluru,24,M,Google Ads  ,0
C100028,11-02-2025,Chennai,22,F,Referral  ,0
C100029,27-03-2025,Pune,28,M,Organic,1
C100030,27-09-2024,Delhi,31,F,Referral,1
C100031,23-12-2024,Mumbai,20,M,Instagram Ads,0
C100032,21-05-2025,Delhi,28,M,Google Ads,1
C100033,10-04-2024,Chennai,31,M,Instagram Ads,0
C100034,27-05-2024,Chennai,34,Other,Organic,0
C100035,05-01-2025,Delhi,28,F,Instagram Ads,1
C100036,21-04-2025,Bengaluru,33,M,Referral,0
C100037,14-12-2025,Pune,28,M,Organic,0
C100038,09-02-2025,Delhi,41,M,Instagram Ads,0
C100039,04-06-2024,Delhi,35,M,Instagram Ads,0
C100040,17-04-2024,Delhi,25,F,Referral,0
C100041,25-01-2025,Mumbai,27,F,Instagram Ads,1
C100042,25-11-2025,Pune,34,F,Referral,0
C100043,10-05-2024,Pune,,F,Organic,0
C100044,25-12-2024,Delhi,18,F,Google Ads,0
C100045,20-04-2025,Delhi,33,F,Referral,0
C100046,24-10-2024,Mumbai,27,F,Offline Banner,0
C100047,07-09-2025,Hyderabad,36,F,Referral,0
C100048,29-07-2025,Bengaluru,31,M,Offline Banner,0
C100049,14-06-2024,Bengaluru,36,F,Instagram Ads,0
C100050,22-05-2025,Bengaluru,,M,Organic,0
C100051,25-07-2025,Delhi,41,Other,Organic,0
C100052,17-01-2025,Mumbai,28,M,Influencer,0
C100053,20-08-2024,Chennai,34,M,Instagram Ads,0
C100054,16-10-2025,Delhi,31,M,Google Ads,0
C100055,05-07-2024,Bengaluru,33,F,Instagram Ads,0
C100056,23-10-2024,Mumbai,18,F,Offline Banner,0
C100057,14-06-2025,Bengaluru,39,F,Google Ads,1
C100058,16-10-2025,Bengaluru,18,M,Offline Banner,0
C100059,08-11-2025,Bengaluru,30,M,Google Ads,0
C100060,29-09-2024,Pune,18,M,Instagram Ads,0
C100061,20-10-2025,Mumbai,25,Other,Google Ads,0
C100062,02-03-2025,Bengaluru,32,F,Referral,0
C100063,14-03-2025,Delhi,37,F,Influencer,0
C100064,04-01-2025,Hyderabad,39,F,Google Ads,0
C100065,08-10-2025,Delhi,29,F,Offline Banner,1
C100066,08-05-2024,Pune,38,M,Google Ads,0
C100067,19-06-2024,Mumbai,30,M,Organic,0
C100068,22-10-2025,Delhi,25,F,Organic,0
C100069,17-06-2025,Delhi,,M,Google Ads,0
