date,channel,city,spend_inr,impressions,clicks
01-01-2024,Instagram Ads,Delhi,1180.92,53261,1159
01-01-2024,Instagram Ads,Mumbai,1318.66,47650,864
01-01-2024,Instagram Ads,Bengaluru,1118.9,46724,1020
01-01-2024,Instagram Ads,Hyderabad,744.22,23737,914
01-01-2024,Instagram Ads,Pune,634.64,24287,568
01-01-2024,Instagram Ads,Chennai,484.63,17555,522
01-01-2024,Google Ads,Delhi,1158.89,56023,1261
01-01-2024,Google Ads,Mumbai,1003.12,43595,943
01-01-2024,Google Ads,Bengaluru,1237.76,56424,822
01-01-2024,Google Ads,Hyderabad,766.92,23730,565
01-01-2024,Google Ads,Pune,670.32,27388,743
01-01-2024,Google Ads,Chennai,534.41,20326,481
01-01-2024,Referral,Delhi,281.34,10031,331
01-01-2024,Referral,Mumbai,234.1,7112,184
01-01-2024,Referral,Bengaluru,182.01,8270,117
01-01-2024,Referral,Hyderabad,145,5308,153
01-01-2024,Referral,Pune,157.73,5339,182
01-01-2024,Referral,Chennai,83.58,2972,68
01-01-2024,Influencer,Delhi,1092.84,31404,1104
01-01-2024,Influencer,Mumbai,673.01,31384,852
01-01-2024,Influencer,Bengaluru,576.18,18465,787
01-01-2024,Influencer,Hyderabad,532.99,18042,642
01-01-2024,Influencer,Pune,456.91,19371,528
01-01-2024,Influencer,Chennai,386.8,16765,426
01-01-2024,Offline Banner,Delhi,710.76,26718,603
01-01-2024,Offline Banner,Mumbai,836.14,34096,1120
01-01-2024,Offline Banner,Bengaluru,543.21,19621,742
01-01-2024,Offline Banner,Hyderabad,409.54,19505,538
01-01-2024,Offline Banner,Pune,338.2,11050,383
01-01-2024,Offline Banner,Chennai,327.55,17540,376
02-01-2024,Instagram Ads,Delhi,1612.49,66339,1738
02-01-2024,Instagram Ads,Mumbai,1154.15,36749,853
02-01-2024,Instagram Ads,Bengaluru,816.64,37626,651
02-01-2024,Instagram Ads,Hyderabad,540.66,28419,637
02-01-2024,Instagram Ads,Pune,640.8,31870,450
02-01-2024,Instagram Ads,Chennai,399.98,17611,531
02-01-2024,Google Ads,Delhi,1514.77,47644,1377
02-01-2024,Google Ads,Mumbai,992.69,42422,1185
02-01-2024,Google Ads,Bengaluru,1289.99,41417,1788
02-01-2024,Google Ads,Hyderabad,490.88,17748,416
02-01-2024,Google Ads,Pune,466.42,22955,603
02-01-2024,Google Ads,Chennai,526.59,20769,683
02-01-2024,Referral,Delhi,355.03,12091,477
02-01-2024,Referral,Mumbai,314.93,16845,434
02-01-2024,Referral,Bengaluru,184.34,6564,159
02-01-2024,Referral,Hyderabad,172.19,8672,134
02-01-2024,Referral,Pune,124.32,6668,113
02-01-2024,Referral,Chennai,82.82,3519,87
02-01-2024,Influencer,Delhi,1054.5,47458,945
02-01-2024,Influencer,Mumbai,926.94,29026,1207
02-01-2024,Influencer,Bengaluru,646.73,20139,488
02-01-2024,Influencer,Hyderabad,331.43,12868,223
02-01-2024,Influencer,Pune,377.49,19089,395
02-01-2024,Influencer,Chennai,253.78,8075,347
02-01-2024,Offline Banner,Delhi,1009.51,30327,1142
02-01-2024,Offline Banner,Mumbai,795.62,31920,744
02-01-2024,Offline Banner,Bengaluru,581.33,19488,397
02-01-2024,Offline Banner,Hyderabad,347.03,17973,454
02-01-2024,Offline Banner,Pune,340.86,16121,300
02-01-2024,Offline Banner,Chennai,367.49,16996,501
03-01-2024,Instagram Ads,Delhi,1578.36,67053,1800
03-01-2024,Instagram Ads,Mumbai,1167.35,45139,840
03-01-2024,Instagram Ads,Bengaluru,1030.05,42873,686
03-01-2024,Instagram Ads,Hyderabad,700.69,24947,642
03-01-2024,Instagram Ads,Pune,498.53,17204,395
03-01-2024,Instagram Ads,Chennai,345.95,14772,256
03-01-2024,Google Ads,Delhi,1419.33,56287,1074
03-01-2024,Google Ads,Mumbai,1393.7,53022,1080
03-01-2024,Google Ads,Bengaluru,1009.5,40287,1081
03-01-2024,Google Ads,Hyderabad,622.14,19861,625
03-01-2024,Google Ads,Pune,570.71,28464,671
03-01-2024,Google Ads,Chennai,526.69,15141,327
03-01-2024,Referral,Delhi,292.65,12182,372
03-01-2024,Referral,Mumbai,315.69,9001,279
03-01-2024,Referral,Bengaluru,270.49,8377,317
03-01-2024,Referral,Hyderabad,160.33,8176,204
03-01-2024,Referral,Pune,129.56,6866,88
03-01-2024,Referral,Chennai,106.63,5670,141
03-01-2024,Influencer,Delhi,1094.53,36836,1065
03-01-2024,Influencer,Mumbai,905.7,42178,1173
03-01-2024,Influencer,Bengaluru,680.35,32901,414
03-01-2024,Influencer,Hyderabad,519.22,25404,415
03-01-2024,Influencer,Pune,417.34,16599,318
03-01-2024,Influencer,Chennai,302.28,16409,404
03-01-2024,Offline Banner,Delhi,751.32,35568,502
03-01-2024,Offline Banner,Mumbai,672.53,32354,441
03-01-2024,Offline Banner,Bengaluru,717.44,27746,734
03-01-2024,Offline Banner,Hyderabad,435.11,14440,371
03-01-2024,Offline Banner,Pune,407.21,11979,474
03-01-2024,Offline Banner,Chennai,345.31,10517,305
04-01-2024,Instagram Ads,Delhi,1526.92,61002,958
04-01-2024,Instagram Ads,Mumbai,1321.9,42832,1831
04-01-2024,Instagram Ads,Bengaluru,954.17,41075,1025
04-01-2024,Instagram Ads,Hyderabad,673.27,34167,599
04-01-2024,Instagram Ads,Pune,648.17,20914,764
04-01-2024,Instagram Ads,Chennai,547.84,26232,337
04-01-2024,Google Ads,Delhi,1560.72,57911,1190
04-01-2024,Google Ads,Mumbai,935.91,44902,748
04-01-2024,Google Ads,Bengaluru,1296.6,40864,1659
04-01-2024,Google Ads,Hyderabad,665.42,29814,557
04-01-2024,Google Ads,Pune,484.72,21053,531
04-01-2024,Google Ads,Chennai,479.43,19557,359
04-01-2024,Referral,Delhi,348.32,12639,281
04-01-2024,Referral,Mumbai,256.54,9358,174
04-01-2024,Referral,Bengaluru,195.51,9684,241
04-01-2024,Referral,Hyderabad,172.45,5837,157
04-01-2024,Referral,Pune,134.78,7070,91
04-01-2024,Referral,Chennai,86.12,3113,110
04-01-2024,Influencer,Delhi,994.56,54457,933
04-01-2024,Influencer,Mumbai,884.46,45785,855
04-01-2024,Influencer,Bengaluru,845.87,41714,604
04-01-2024,Influencer,Hyderabad,506.45,25147,697
04-01-2024,Influencer,Pune,455.89,21442,517
04-01-2024,Influencer,Chennai,248.68,10152,222
04-01-2024,Offline Banner,Delhi,913.72,38428,573
04-01-2024,Offline Banner,Mumbai,906.18,31943,1097
04-01-2024,Offline Banner,Bengaluru,759.64,22127,754
04-01-2024,Offline Banner,Hyderabad,489.86,22027,297
04-01-2024,Offline Banner,Pune,319.56,8974,414
04-01-2024,Offline Banner,Chennai,281.13,11199,339
05-01-2024,Instagram Ads,Delhi,1159.99,61769,1420
05-01-2024,Instagram Ads,Mumbai,905.47,31504,659
05-01-2024,Instagram Ads,Bengaluru,1178.39,46817,1469
05-01-2024,Instagram Ads,Hyderabad,603.54,21129,377
05-01-2024,Instagram Ads,Pune,477.21,23893,458
05-01-2024,Instagram Ads,Chennai,369.1,11151,483
05-01-2024,Google Ads,Delhi,1668.17,76058,2159
05-01-2024,Google Ads,Mumbai,1095.04,59627,1529
05-01-2024,Google Ads,Bengaluru,851.51,38808,1064
05-01-2024,Google Ads,Hyderabad,758.01,25104,948
05-01-2024,Google Ads,Pune,691.6,31050,522
05-01-2024,Google Ads,Chennai,523.24,15771,474
05-01-2024,Referral,Delhi,326.23,10514,384
05-01-2024,Referral,Mumbai,208.04,6368,159
05-01-2024,Referral,Bengaluru,256.51,9371,318
05-01-2024,Referral,Hyderabad,167.71,8495,190
05-01-2024,Referral,Pune,144.47,7286,104
05-01-2024,Referral,Chennai,118.16,4045,150
05-01-2024,Influencer,Delhi,999.92,29904,990
05-01-2024,Influencer,Mumbai,925.06,28308,1173
05-01-2024,Influencer,Bengaluru,695.79,27487,621
05-01-2024,Influencer,Hyderabad,364.18,19917,331
