order_id,product_id,quantity,unit_price
O700001,P5081,2,410.35
O700002,P5069,2,776.92
O700002,P5036,2,83.82
O700002,P5052,6,109.05
O700002,P5125,4,315.2
O700002,P5103,2,282.44
O700003,P5127,2,206.26
O700003,P5103,1,301.34
O700003,P5074,4,891.04
O700003,P5052,2,114.1
O700004,P5125,3,371.3
O700004,P5095,1,131.22
O700005,P5069,3,922.85
O700005,P5135,2,1302.52
O700005,P5114,1,588.96
O700005,P5125,2,364.62
O700005,P5034,2,39.35
O700005,P5120,5,476.06
O700006,P5069,2,819.97
O700006,P5103,3,286.84
O700006,P5125,1,328.79
O700007,P5116,2,393.51
O700007,P5069,2,995.45
O700007,P5103,1,368.04
O700007,P5127,3,256.92
O700008,P5066,2,807.14
O700008,P5104,3,525.6
O700008,P5059,3,234.47
O700008,P5125,3,295.52
O700009,P5069,4,890.2
O700009,P5103,1,333.01
O700009,P5083,3,241.75
O700010,P5025,2,63.43
O700010,P5045,2,211.65
O700010,P5081,3,415.58
O700010,P5090,4,730.66
O700010,P5069,1,887.88
O700010,P5103,1,334.03
O700011,P5103,3,371.8
O700011,P5135,2,1494.21
O700011,P5091,2,792.66
O700011,P5131,3,990.25
O700012,P5084,2,369.29
O700012,P5035,2,148.93
O700012,P5069,2,1031.33
O700012,P5052,2,146.1
O700013,P5093,1,296.06
O700013,P5013,2,73.54
O700013,P5069,3,1036.38
O700013,P5118,1,168.07
O700013,P5127,1,254.92
O700013,P5125,1,405.52
O700013,P5134,4,555.89
O700013,P5090,1,837.73
O700014,P5041,2,111.23
O700014,P5103,2,317.12
O700014,P5030,1,278.88
O700014,P5069,3,861.45
O700015,P5090,1,776.21
O700015,P5125,5,399.54
O700015,P5030,3,311.39
O700015,P5103,2,358.3
O700015,P5064,1,206.64
O700015,P5069,2,940.36
O700016,P5135,1,1322
O700016,P5103,1,337.31
O700016,P5022,5,33.89
O700016,P5069,1,927.53
O700017,P5054,2,270.05
O700017,P5030,1,260.79
O700017,P5069,1,794.12
O700017,P5125,2,320.34
O700018,P5125,2,275.05
O700018,P5135,1,1015.17
O700018,P5046,1,223.82
O700018,P5103,3,255.69
O700018,P5069,4,711.81
O700018,P5009,4,83.54
O700018,P5090,2,575.56
O700019,P5065,1,1075.92
O700019,P5069,3,786.21
O700019,P5103,3,292.92
O700020,P5069,1,771.23
O700020,P5115,-3,395.77
O700020,P5135,4,1091.87
O700020,P5081,1,370.27
O700021,P5069,2,732.44
O700021,P5090,1,588.47
O700021,P5081,3,354.46
O700021,P5052,2,106.64
O700021,P5103,4,264.18
O700022,P5126,1,724.06
O700022,P5103,2,271.09
O700022,P5069,3,753.59
O700022,P5047,2,134.89
O700023,P5009,3,83.27
O700023,P5052,3,102.12
O700023,P5125,3,278.57
O700023,P5069,2,681.4
O700023,P5038,3,189.45
O700024,P5064,4,0
O700024,P5069,3,735.35
O700024,P5022,3,28.19
O700024,P5119,3,287.08
O700025,P5088,2,148.18
O700025,P5069,4,659.85
O700025,P5104,2,468.12
O700025,P5125,1,267.69
O700025,P5038,2,180.19
O700025,P5099,3,480.92
O700025,P5127,4,161.83
O700025,P5113,2,292.47
O700025,P5014,2,106.85
O700026,P5052,4,140.15
O700026,P5103,4,356.14
O700027,P5131,4,755.55
O700027,P5069,3,811.25
O700028,P5125,5,350.09
O700028,P5069,1,861.18
O700028,P5123,2,127.84
O700028,P5045,2,202.39
O700029,P5069,1,915.94
O700029,P5041,2,120.93
O700029,P5052,4,134.59
O700029,P5111,3,631.82
O700029,P5064,1,197.19
O700029,P5042,2,232.55
O700030,P5081,2,332.08
O700030,P5087,3,240.66
O700030,P5069,3,698.82
O700030,P5103,1,271.74
O700030,P5030,5,241.08
O700030,P5090,2,572.23
O700030,P5047,1,131.63
O700031,P5069,3,601.21
O700031,P5030,2,208.19
O700031,P5090,4,509.86
O700032,P5069,2,1038.64
O700032,P5113,2,464.83
O700032,P5111,2,702.27
O700032,P5009,3,123.28
O700032,P5034,4,43.2
O700032,P5065,2,1382.77
O700033,P5069,1,1001.6
O700033,P5135,2,1491.49
O700034,P5069,1,820.89
O700034,P5036,1,84.88
O700034,P5111,2,565.85
