order_id,customer_id,order_date,city,payment_mode,delivery_minutes,delivery_rating,discount_pct,order_status
O709661,C102337,02-11-2025,Chennai,Wallet,26.4,4.5,25,Delivered
O716079,C103894,25-07-2025,Mumbai,UPI,29.3,4,15,Delivered
O700874,C100207,27-12-2025,Mumbai,COD,15.4,5,0,Delivered
O704581,C101109,04-04-2025,Delhi,UPI,25.8,4,10,Delivered
O707306,C101795,29-08-2025,Delhi,UPI,19.2,5,5,Delivered
O708195,C101976,10-10-2024,Delhi,UPI,19.9,4.5,5,Delivered
O702481,C100622,15-07-2025,Delhi,UPI,15.5,5,15,Delivered
O704431,C101075,06-11-2024,Mumbai,UPI,15.8,5,25,Delivered
O715315,C103719,17-09-2024,Delhi,UPI,22.2,4.5,5,Delivered
O705180,C101257,06-07-2025,Mumbai,UPI,14.4,5,0,Delivered
O713735,C103348,10-11-2025,Delhi,UPI,23.6,5,40,Delivered
O723640,C105727,13-01-2025,Delhi,COD,22.3,4.5,20,Delivered
O723254,C105618,11-10-2025,Mumbai,UPI,23.5,5,20,Delivered
O719684,C104757,14-05-2025,Mumbai,COD,27.7,4,5,Delivered
O706658,C101624,31-12-2024,Hyderabad,COD,32.4,4,5,Delivered
O700906,C100216,15-06-2025,Delhi,Card,27.4,5,15,Delivered
O707835,C101915,18-01-2025,Delhi,Card,13.2,5,5,Delivered
O717750,C104278,29-10-2024,Hyderabad,Card,26.6,3.5,45,Delivered
O702518,C100633,13-11-2025,Mumbai,COD,24.2,4,15,Delivered
O718409,C104450,22-11-2025,Delhi,Card,30.3,2.5,20,Delivered
O724018,C105822,20-09-2025,Mumbai,COD,26.5,4.5,35,Delivered
O707241,C101780,13-03-2025,Mumbai,UPI,14.6,5,5,Delivered
O706141,C101495,05-07-2025,Bengaluru,Card,16.5,5,10,Delivered
O705284,C101271,05-12-2025,Delhi,Card,8.8,,15,Delivered
O723423,C105673,19-06-2024,Bengaluru,COD,25,3.5,40,Delivered
O720564,C104967,10-08-2024,Delhi,Card,13,4.5,10,Delivered
O723873,C105789,21-12-2024,Chennai,UPI,29.3,4,10,Cancelled
O705315,C101278,26-12-2025,Pune,UPI,21.5,5,10,Delivered
O712337,C102998,24-11-2024,Pune,Card,23.1,5,20,Returned
O704438,C101078,30-11-2025,Bengaluru,Card,31.4,3.5,20,Delivered
O724482,C105945,27-12-2024,Mumbai,COD,21.3,3.5,10,Delivered
O706677,C101627,06-11-2025,Bengaluru,Card,20.9,5,15,Delivered
O720291,C104901,19-07-2025,Chennai,UPI,,3.5,15,Delivered
O704143,C101017,19-07-2025,mumbai,COD,14.2,5,15,Delivered
O708084,C101961,28-06-2024,Mumbai,UPI,22.4,5,5,Delivered
O720287,C104901,29-01-2025,Chennai,COD,23.7,4,5,Delivered
O720137,C104877,02-08-2025,bengaluru,COD,16.1,5,15,Delivered
O717783,C104290,29-06-2025,Mumbai,UPI,21.9,4,10,Delivered
O714981,C103635,31-07-2024,chennai,Card,28.6,4,10,Delivered
O714490,C103519,01-08-2025,Delhi,UPI,16.9,5,0,Delivered
O712314,C102984,10-03-2025,Mumbai,Card,15.7,5,10,Cancelled
O701087,C100248,27-07-2025,Delhi,UPI,6,5,35,Delivered
O704249,C101033,10-05-2025,Bengaluru,Card,20.2,5,10,Delivered
