product_id,product_name,category,sub_category,mrp,cost_price
P5001,Tata Fresh Fruits Pack 1,Fruits & Vegetables,Fresh Fruits,150,122.54
P5002,Amul Fresh Fruits Pack 2,Fruits & Vegetables,Fresh Fruits,182,133.75
P5003,Mother Dairy Fresh Fruits Pack 3,Fruits & Vegetables,Fresh Fruits,123,93.03
P5004,Himalaya Fresh Fruits Pack 4,Fruits & Vegetables,Fresh Fruits,187,145.11
P5005,Himalaya Fresh Fruits Pack 5,Fruits & Vegetables,Fresh Fruits,78,60.52
P5006,Fortune Fresh Fruits Pack 6,Fruits & Vegetables,Fresh Fruits,245,189.05
P5007,Tata Fresh Vegetables Pack 1,Fruits & Vegetables,Fresh Vegetables,178,137.84
P5008,Parle Fresh Vegetables Pack 2,Fruits & Vegetables,Fresh Vegetables,226,183.14
P5009,Vim Fresh Vegetables Pack 3,Fruits & Vegetables,Fresh Vegetables,111,90.09
P5010,Britannia Fresh Vegetables Pack 4,Fruits & Vegetables,Fresh Vegetables,116,91.8
P5011,Amul Fresh Vegetables Pack 5,Fruits & Vegetables,Fresh Vegetables,82,62.15
P5012,Parle Fresh Vegetables Pack 6,Fruits & Vegetables,Fresh Vegetables,139,106.01
P5013,Dabur Fresh Vegetables Pack 7,Fruits & Vegetables,Fresh Vegetables,68,52.93
P5014,Himalaya Fresh Vegetables Pack 8,Fruits & Vegetables,Fresh Vegetables,152,113.7
P5015,Amul Herbs Pack 1,Fruits & Vegetables,Herbs,218,178.47
P5016,Dabur Herbs Pack 2,Fruits & Vegetables,Herbs,153,124.14
P5017,Vim Herbs Pack 3,Fruits & Vegetables,Herbs,193,149.9
P5018,Himalaya Herbs Pack 4,Fruits & Vegetables,Herbs,83,64.2
P5019,Pampers Herbs Pack 5,Fruits & Vegetables,Herbs,85,64.61
P5020,Mother Dairy Herbs Pack 6,Fruits & Vegetables,Herbs,102,82.05
P5021,Amul Milk Pack 1,Dairy & Bakery,Milk,42,34.31
P5022,Aashirvaad Milk Pack 2,Dairy & Bakery,Milk,36,29
P5023,Vim Milk Pack 3,Dairy & Bakery,Milk,132,112.44
P5024,ITC Milk Pack 4,Dairy & Bakery,Milk,242,207.89
P5025,Mother Dairy Milk Pack 5,Dairy & Bakery,Milk,66,54.34
P5026,Fortune Milk Pack 6,Dairy & Bakery,Milk,31,26.41
P5027,Dabur Curd & Paneer Pack 1,Dairy & Bakery,Curd & Paneer,189,157.57
P5028,ITC Curd & Paneer Pack 2,Dairy & Bakery,Curd & Paneer,136,107.4
P5029,Tata Curd & Paneer Pack 3,Dairy & Bakery,Curd & Paneer,263,212.67
P5030,Parle Curd & Paneer Pack 4,Dairy & Bakery,Curd & Paneer,317,259.35
P5031,Surf Excel Curd & Paneer Pack 5,Dairy & Bakery,Curd & Paneer,170,142.37
P5032,Tata Curd & Paneer Pack 6,Dairy & Bakery,Curd & Paneer,222,175.06
P5033,Patanjali Curd & Paneer Pack 7,Dairy & Bakery,Curd & Paneer,105,83.33
P5034,Patanjali Curd & Paneer Pack 8,Dairy & Bakery,Curd & Paneer,41,31.69
P5035,Mother Dairy Bread & Eggs Pack 1,Dairy & Bakery,Bread & Eggs,144,123.68
